"2VMEGDHDM25LLSNYR6XHMZ6OIAJNDE","RT @jeremymowery: How will Obama move his green energy #FORWARD &amp; at the same time demonize the Union coal miners??? Time to wake up","A1KAXCLAH6UVMS","angry","A29PP6NH9Z72Q2","angry","Yes","angry","Fri Nov 16 13:44:48 UTC 2012"
"27PQ67051QKC01FDL0315MGI417FZY","Don't listen to the media. they want you to believe @MittRomney can't win so you shouldn't vote. THEY ARE TELLING YOU LIES!! VOTE OUT OBAMA","A1KAXCLAH6UVMS","angry","A2ZBYVQLDUZOV7","angry","Yes","angry","Sun Nov 18 03:29:53 UTC 2012"
"2C6K5UFJ51Y73O2A78HS9CSTQU88B4","http://t.co/tmQgOLSn - I support the re-election of Barrack Obama and have converted TheLibrary.co's whole presentation until after Tuesday.","A1KAXCLAH6UVMS","hopeful","A2ZBYVQLDUZOV7","hopeful","Yes","hopeful","Sun Nov 18 15:26:53 UTC 2012"
"23QJIA0RYNJ9FXXVEAWBUJTUL4P279","@PompeyHendo Hey. their system gave them Obama. ours gave us Cameron. Who looks silly when we look at it like that?","A1KAXCLAH6UVMS","mocking","A2ZBYVQLDUZOV7","mocking","Yes","mocking","Fri Nov 16 02:28:43 UTC 2012"
"2902KYEPLSP7IUZXY6A3WAHQIWOPVB","RT @PatsyRoussel: Daily Kos: Economists Agree: Obama is Right on Jobs and Recovery http://t.co/AgS0u35O via @dailykos","A1KAXCLAH6UVMS","happy","A2ZBYVQLDUZOV7","happy","Yes","happy","Sun Nov 18 03:11:37 UTC 2012"
"2BUF806UFBNF55U5DPU9DSW6RMUF19","I can assure you people who voted after church and who are Christians did not vote for Obama! Christians believe in life and the Bible!","A1KAXCLAH6UVMS","hopeful","A2JGEXY1LC5BAY","hopeful","Yes","hopeful","Sun Nov 18 04:30:24 UTC 2012"
"23WZZ2MIKMN97I3KQDZT4WXI7YN8PP","Just had a lecture where our lecturer started doing a dance to Traffic signals and calling Barack Obama. Osama Bin Laden  #weirdlecture","A1KAXCLAH6UVMS","sad","A2ZBYVQLDUZOV7","sad","Yes","sad","Fri Nov 16 03:57:46 UTC 2012"
"2UZDM25L8I9NC6KS69XOM4QWBZ1HR5","ANGRY WHITE DUDE OPEN LETTER TO PRESIDENT OBAMA http://t.co/XPs8yz6W via @sharethis","A182JW8U6PO60U","angry","A2V3P1XE33NYC3","angry","Yes","angry","Fri Nov 16 22:54:24 UTC 2012"
"2H6HOVR14IXK1CZKUR5C4A6X74H87I","@emily4213: friday needs to be counted as part of the weekend obama work on thisobama needs to hook us up","A1KAXCLAH6UVMS","funny","A2ZBYVQLDUZOV7","funny","Yes","funny","Sun Nov 18 15:32:22 UTC 2012"
"2E2O2L92HECWNGBEQY3CN0CP9QQHG9","I love how as an Australian Im so interested in Obama cause I know that my politicians are ridiculous and my country is doomed.","A1KAXCLAH6UVMS","sad","A2ZBYVQLDUZOV7","sad","Yes","sad","Fri Nov 16 03:49:13 UTC 2012"
